"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"Ccdc88b",539.840497329723,-0.0957235556598232,0.175925276864957,-0.54411485015483,0.58636244204508,0.813544218062619,0
"Gm53360",48.5885520850593,-0.23583595446385,0.43364178374993,-0.543849701069973,0.586544904155871,0.813682619737437,0
"Abi2",6311.64138559917,0.0529826042305492,0.0974469199169564,0.543707325749245,0.586642890466887,0.813758423976047,0
"Orc2",5699.6812616754,0.0628129277615843,0.115576775035045,0.543473615201135,0.58680375244552,0.813801185711673,0
"Gm52910",75.5993175743229,0.213893987581486,0.393548459855769,0.543501015503594,0.586784891876107,0.813801185711673,0
"Arap3",267.89669690434,-0.113968675995649,0.209664353569343,-0.543576788592995,0.586732736118155,0.813801185711673,0
"Myo1f",855.775538351401,-0.171309518154873,0.315252551426834,-0.543404065659502,0.586851627045332,0.813807467152382,0
"Zfp229",1648.29310235118,-0.0704473039239611,0.129737501051158,-0.542998773316762,0.587130647025315,0.814134261292487,0
"Prpf18",6799.24876335887,-0.0534224014620006,0.0983991111952836,-0.542915487884623,0.587187991762566,0.814153647835624,0
"Gm54239",36.3887793483214,-0.305652266423868,0.563223306285171,-0.54268398166945,0.587347404965251,0.814275802236136,0
"Sez6l",34.6905961148411,0.289765475282536,0.533970870670605,0.542661577996988,0.587362833005805,0.814275802236136,0
"D630041G03Rik",20.6266544460588,0.36482740701306,0.672734092192312,0.542305513050716,0.587608058357987,0.814555618404549,0
"Ctdsp2",17357.4762560306,-0.054864017733288,0.101180430931554,-0.542239415548665,0.587653585555283,0.814558587582166,0
"Skic2",12825.8977130875,-0.0657009792759631,0.121195050726753,-0.542109425112523,0.587743126228861,0.814622559792327,0
"Eif2b4",3619.1384677625,0.0653101979573551,0.120503291637051,0.541978539093072,0.587833290178117,0.814687386365553,0
"Rnpc3",3790.07993153978,0.0613306146190272,0.113221542956131,0.541686794029918,0.588034288724298,0.814785518140125,0
"Terb1",13.8071085929248,0.357291924499816,0.659523767602919,0.541742302629087,0.587996043478103,0.814785518140125,0
"Ltv1",4121.70710146617,0.07087068703718,0.130826557012737,0.541714837227432,0.588014966907719,0.814785518140125,0
"Sgta",12138.0419902016,-0.0634114563534845,0.117093665919478,-0.541544718542596,0.588132183516226,0.814800896215846,0
"Gm52294",71.6878769803058,-0.214166392584709,0.395466092783461,-0.541554374680553,0.588125529873636,0.814800896215846,0
