"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"ADCY1",1698.20775521996,-0.46195234960498,0.290056381616714,-1.59262949854836,0.111243331933406,0.999878154981222,0
"SEPTIN7P2",227.51536302382,0.865419583574021,0.40466414662108,2.13861195957245,0.0324671081122957,0.999878154981222,0
"LOC112267918",4.94501589358969,-0.574361309982121,0.769565436115577,-0.746344992936845,0.455459038672782,0.999878154981222,0
"IGFBP3",73.1592331243811,-0.55543406368651,0.317763870996391,-1.74794592583755,0.080473391304858,0.999878154981222,0
"TNS3",17.4443510911473,0.569332257340381,0.473557627045594,1.20224493245374,0.229268645339048,0.999878154981222,0
"PKD1L1",31.5769823188211,0.525588657371473,0.301822732699399,1.74138194519275,0.0816166508322727,0.999878154981222,0
"HUS1",24.9915090208001,-0.347472481201393,0.437125449320823,-0.794903343516772,0.426669729195526,0.999878154981222,0
"UPP1",72.9865498842758,-0.100632854971524,0.315593486017204,-0.318868606071415,0.749826151318385,0.999878154981222,0
"VWC2",33.603327903587,0.175749587019749,0.392990253086034,0.447211058390483,0.654722677700532,0.999878154981222,0
"FIGNL1",55.3798469884956,0.473522521552954,0.362254722665886,1.30715348047979,0.191160591042181,0.999878154981222,0
"GRB10",216.878356573128,-0.0260567692364769,0.17548795425626,-0.148481810885019,0.881962539647403,0.999878154981222,0
"COBL",22.6050721541397,0.665080698347972,0.498126642721466,1.33516387462106,0.18182271753515,0.999878154981222,0
"VSTM2A",299.929180749737,-0.249887970090105,0.198842607803196,-1.25671239605462,0.208857797776673,0.999878154981222,0
"VSTM2A-OT1",6.31664055757763,0.668484635903903,0.678384005334933,0.985407425067249,0.324423983917916,0.999878154981222,0
"SEC61G",73.352709889326,0.251408778558321,0.259125226687733,0.970221162068826,0.331936264545325,0.999878154981222,0
"EGFR",20.4200272987048,-0.0235839378638055,0.42024121115507,-0.0561200026027505,0.955246209275829,0.999878154981222,0
"LANCL2",382.420659384126,0.145369358404731,0.308439552037356,0.471305827817843,0.637422354531527,0.999878154981222,0
"VOPP1",328.734888188961,-0.193832189591949,0.173570094127161,-1.11673724996625,0.264106685864701,0.999878154981222,0
"VOPP1-DT",12.4769438859421,-0.782601379776276,0.614361127443545,-1.27384586168856,0.202718048136953,0.999878154981222,0
"ZNF713",82.6903564712299,-0.387543260176893,0.311063756981818,-1.2458643975021,0.21281418263221,0.999878154981222,0
"MRPS17",39.9278931322842,-0.173914079574836,0.354790545193063,-0.490188033280871,0.624000847963393,0.999878154981222,0
"NIPSNAP2",143.476173219966,-0.0926733646400193,0.191059424463957,-0.485049951867212,0.627640912502117,0.999878154981222,0
"PSPH",58.7378521584508,-0.290516813907398,0.272621491651726,-1.06564164163012,0.286585667637414,0.999878154981222,0
"CCT6A",1289.79782434268,0.509477100449283,0.351832508523364,1.44806715726057,0.147598269604321,0.999878154981222,0
"SUMF2",155.761777075352,-0.0191960587038329,0.172764259563888,-0.111111283967471,0.91152810083869,0.999878154981222,0
"CHCHD2",6.43902768424445,0.0212924555798751,0.823628391134909,0.0258520174984927,0.979375371729931,0.999878154981222,0
"ZNF736",22.1064374300296,-0.0198464346889883,0.399922102944008,-0.049625750972226,0.960420625601605,0.999878154981222,0
"LOC105375321",27.3317082435862,0.236098799207952,0.346074279725931,0.682220011827887,0.495099842540198,0.999878154981222,0
"ZNF680",14.2196946184781,0.274115922758325,0.531054984865078,0.516172393764402,0.605734009481364,0.999878154981222,0
"ZNF107",41.634208074654,0.474646037529449,0.384817390327716,1.23343188083375,0.217414676691111,0.999878154981222,0
"ZNF138",63.8413624316783,-0.148218059236338,0.317833121711805,-0.466339248842461,0.640972689042214,0.999878154981222,0
"ZNF273",50.5071158468047,0.095320621799047,0.294228048340671,0.323968507885694,0.745961876569282,0.999878154981222,0
"ERV3-1",83.9756578473121,-0.0736822166112373,0.291075066644527,-0.253138193733444,0.800161425446193,0.999878154981222,0
"CCT6P3",9.71740830781797,-0.0588407326714787,0.52946654061407,-0.11113210780654,0.911511588084373,0.999878154981222,0
"INTS4P1",16.4944887616684,0.59540885021522,0.642492750178221,0.926716838516948,0.354073572528658,0.999878154981222,0
"ZNF92",53.4222076378358,-0.0422571301704874,0.258460277782776,-0.163495646344552,0.870128200745222,0.999878154981222,0
