Sample,Target,EqCq Mean,Adjusted EqCq Mean,Delta EqCq Mean,Delta EqCq SE,Delta Delta EqCq,RQ,RQ Min,RQ Max
A-E1,IL1b,24.149878495176353,24.149878495176353,6.424400387134902,0.012915854074800406,0.053691075463486726,0.9634681795398928,0.942591755715497,0.9848069722202151
A-E1,TNF,32.058534668976606,32.058534668976606,14.333056560935155,0.06821282647034106,-0.24431718469744368,1.1845320093165626,1.0551195053070521,1.3298172141052493
A-E2,COL4A1,20.668908840904074,20.668908840904074,2.7729574490228046,0.09998425055640657,0.12679183436323171,0.915865826637463,0.7730081435804447,1.0851246773638044
A-E2,FOS,33.97637903390057,33.97637903390057,16.080427642019302,0.06609299166922088,0.4737493371549206,0.7200907614543949,0.64372970026366,0.8055099904813922
A-E2,FOSB,28.15304833554287,28.15304833554287,10.257096943661601,0.044436958903933246,-0.391493377406011,1.3117505341082198,1.2165200144779593,1.414435803155769
A-E2,FOSL1,21.13167330647602,21.13167330647602,3.235721914594752,0.027611824866471183,0.1419867186624728,0.9062702812821449,0.8648066847033403,0.9497218710988136
A-E2,FOSL2,22.57839776761968,22.57839776761968,4.682446375738412,0.0218792808157946,0.05592433183925394,0.9619779082866784,0.9269343035712516,0.9983463687407694
A-E2,GAPDH,17.89595139188127,17.89595139188127,,,,,,
A-E2,IL1b,24.472027192042724,24.472027192042724,6.576075800161455,0.021510937113837097,0.20536648849003925,0.8673183338866046,0.8362453244222995,0.8995459470168086
A-E2,TNF,32.54718204360367,32.54718204360367,14.6512306517224,0.08929996431503885,0.07385690608980156,0.9500946134693105,0.8165617830934487,1.1054641464160886
A-E3,COL4A1,20.344723310955203,20.344723310955203,2.718563773765368,0.02507169766468411,0.07239815910579495,0.9510557650175866,0.9114614894574928,0.9923700327827946
A-E3,FOS,31.584292489477683,31.584292489477683,13.958132952287848,0.04285510994781947,-1.6485453525765337,3.1351736495709543,2.915377443648838,3.3715407363040617
A-E3,FOSB,23.85453352005659,23.85453352005659,6.228373982866756,0.02564005242711334,-4.420216338200856,21.410051163267024,20.498939790470228,22.361658480835832
A-E3,FOSL1,20.626512735961878,20.626512735961878,3.000353198772043,0.01698770333528313,-0.0933819971602361,1.0668682290780744,1.03656787254876,1.0980543082215255
A-E3,FOSL2,22.300192184143505,22.300192184143505,4.67403264695367,0.01584631760394272,0.047510603054512046,0.9676045087288003,0.9419450822001086,0.9939629209863028
A-E3,GAPDH,17.626159537189835,17.626159537189835,,,,,,
A-E3,IL1b,24.28812608206433,24.28812608206433,6.661966544874495,0.025054686587485508,0.29125723320307983,0.8171896102067115,0.7831910357028762,0.8526640737537041
A-E3,TNF,32.07652628940852,32.07652628940852,14.450366752218684,0.05560330563686311,-0.12700699341391442,1.0920258392900069,0.9890217449087414,1.2057575476129492
G-C1,COL4A1,20.09784492351304,20.09784492351304,2.2069003474110858,0.03600297642842044,-0.43926526724848713,1.3559136146942494,1.2755939476764881,1.4412907288107486
G-C1,FOS,30.807601719204765,30.807601719204765,12.91665714310281,0.07126865305390995,-2.690021161761571,6.453228730431627,5.7184852616376185,7.282376213616828
G-C1,FOSB,29.67439434102647,29.67439434102647,11.783449764924516,0.047111138094456266,1.1348594438569037,0.4553792804595841,0.4204085029962112,0.49325902686073264
G-C1,FOSL1,21.625726512426155,21.625726512426155,3.7347819363242003,0.0399489413008277,0.6410467403919213,0.6412475259259137,0.5992382920040333,0.6862017914958907
G-C1,FOSL2,22.833323609303825,22.833323609303825,4.94237903320187,0.033758649789080795,0.3158569893027128,0.8033736291986783,0.7586669367136378,0.8507147957279018
G-C1,GAPDH,17.890944576101955,17.890944576101955,,,,,,
G-C1,IL1b,29.97532897226833,29.97532897226833,12.084384396166374,0.03269843531659355,5.713675084494959,0.019055151853768725,0.01802714480541059,0.02014178152389428
G-C1,TNF,33.2820411918261,33.2820411918261,15.391096615724148,0.11642055291193688,0.8137228700915493,0.5689118867574359,0.46233438585644676,0.7000576742617649
G-C2,COL4A1,19.79126344577804,19.79126344577804,1.8661070967024962,0.02084033125828014,-0.7800585179570767,1.7172005237897805,1.657563413221482,1.7789833048817922
G-C2,FOS,30.797130876821768,30.797130876821768,12.871974527746225,0.03314019444005724,-2.734703777118156,6.656223041352715,6.292409851047591,7.0410711039203235
G-C2,FOSB,29.75545414162514,29.75545414162514,11.830297792549597,0.03356333121864052,1.1817074714819853,0.44082945481648333,0.4164358033010583,0.46665201861451977
G-C2,FOSL1,21.81948358353659,21.81948358353659,3.8943272344610484,0.013710448747034682,0.8005920385287695,0.5741135302747301,0.5609171899869978,0.5876203324275974
G-C2,FOSL2,22.692664272556407,22.692664272556407,4.7675079234808635,0.027223203621951294,0.14098587958170583,0.9068992051911855,0.8659774367865524,0.9497547319805364
G-C2,GAPDH,17.925156349075543,17.925156349075543,,,,,,
G-C2,IL1b,30.153861910525848,30.153861910525848,12.228705561450305,0.045124454723123174,5.857996249778889,0.017241197005816392,0.015970886300187653,0.01861254714397907
G-C2,TNF,33.26674026891655,33.26674026891655,15.341583919841007,0.056125853604815756,0.764210174208408,0.5887756147404382,0.5353130800043534,0.6475775344592023
G-C3,COL4A1,20.18638305485135,20.18638305485135,2.079477254509392,0.026940578508224265,-0.5666883601501809,1.4811198233875185,1.4149657569087808,1.5503667989987244
G-C3,FOS,31.08478014583999,31.08478014583999,12.97787434549803,0.04450676458850139,-2.6288039593663513,6.185130176045333,5.735422751756732,6.670098604834141
G-C3,FOSB,30.167668103204576,30.167668103204576,12.060762302862617,0.04084422873686115,1.4121719817950051,0.3757455747063712,0.35059705698603005,0.40269800929061095
G-C3,FOSL1,21.72992575109202,21.72992575109202,3.6230199507500593,0.03212463506791725,0.5292847548177804,0.6928981671665528,0.656155243116245,0.7316985958728549
G-C3,FOSL2,23.074856310670498,23.074856310670498,4.967950510328539,0.02733658434473965,0.34142846642938096,0.7892594494907887,0.7535009946595458,0.8267148723432827
G-C3,GAPDH,18.10690580034196,18.10690580034196,,,,,,
G-C3,IL1b,29.998964731123014,29.998964731123014,11.892058930781054,0.059891128998325445,5.521349619109639,0.021772492423733164,0.019669472359581382,0.02410036312492151
G-C3,TNF,33.30285263279689,33.30285263279689,15.195946832454933,0.11552695753108026,0.6185730868223338,0.6513147992207649,0.535419887308589,0.7922958742088924
G-E1,COL4A1,20.17200474772443,20.17200474772443,1.9290173312650865,0.03003369198358815,-0.7171482833944864,1.6439293326077007,1.5622858936777577,1.7298393728986885
G-E1,FOS,31.579608990262066,31.579608990262066,13.336621573802724,0.023702473122079754,-2.2700567310616577,4.823420978298529,4.63336028360324,5.021277973185688
G-E1,FOSB,29.865215342015183,29.865215342015183,11.62222792555584,0.026780127448798537,0.9736376044882284,0.5092204966599958,0.4866086207183246,0.532883108063046
G-E1,FOSL1,22.00756123654896,22.00756123654896,3.764573820089616,0.017703450477275822,0.6708386241573372,0.6281414487924146,0.6095610365372716,0.6472882222466465
G-E1,FOSL2,22.800658655779785,22.800658655779785,4.557671239320442,0.04836160002275379,-0.06885080457871595,1.048880852597151,0.9662806873804543,1.1385418929642366
G-E1,GAPDH,18.242987416459343,18.242987416459343,,,,,,
G-E1,IL1b,29.96264542053592,29.96264542053592,11.719658004076578,0.038751207744438125,5.348948692405163,0.0245361262888282,0.022975347907456707,0.02620293262527436
G-E1,TNF,32.84694216934466,32.84694216934466,14.603954752885315,0.12505812753408535,0.02658100725271595,0.9817441441637698,0.7941111064715536,1.2137112259799108
G-E2,COL4A1,19.87861892676679,19.87861892676679,1.715592313740899,0.016418149304483876,-0.9305733009186739,1.9060332687658175,1.8536894093972278,1.9598551964665176
G-E2,FOS,31.064221846802145,31.064221846802145,12.901195233776253,0.03394936694854406,-2.7054830710881284,6.522762371199954,6.157786990787856,6.909370040696789
G-E2,FOSB,28.705593994723635,28.705593994723635,10.542567381697744,0.023973075269231522,-0.1060229393698684,1.0762572375247903,1.0333743199577154,1.120919708331721
G-E2,FOSL1,22.144650034785197,22.144650034785197,3.9816234217593056,0.019323515213494284,0.8878882258270266,0.5404045677566367,0.52298041877848,0.5584092374516534
G-E2,FOSL2,22.496776319806568,22.496776319806568,4.333749706780676,0.02203979081101864,-0.29277233711848183,1.22499200815416,1.180045846750694,1.2716501008613708
G-E2,GAPDH,18.16302661302589,18.16302661302589,,,,,,
G-E2,IL1b,30.079192557862445,30.079192557862445,11.916165944836553,0.04874158585266078,5.545456633165138,0.021411703151552778,0.019712806581213837,0.023257014670205575
G-E2,TNF,33.26171748900435,33.26171748900435,15.098690875978455,0.16298244427395372,0.5213171303458566,0.6967354475132331,0.5284647671745666,0.9185859000910667
G-E3,COL4A1,20.19331060980649,20.19331060980649,2.1692876018696765,0.0264637452147035,-0.4768780127898964,1.39172870910854,1.3306430003945822,1.4556186739663166
G-E3,FOS,31.55556896787335,31.55556896787335,13.531545959936537,0.043826019553507456,-2.0751323449278445,4.213830679797518,3.911966289646409,4.538988243584215
G-E3,FOSB,26.063606814457227,26.063606814457227,8.039583806520415,0.02886164422331837,-2.609006514547197,6.100834161523762,5.809381665170183,6.406908619822105
G-E3,FOSL1,21.4627898439551,21.4627898439551,3.4387668360182886,0.02781552911877446,0.3450316400860096,0.7872907101211796,0.751011139519686,0.8253228609092605
G-E3,FOSL2,22.63776145066886,22.63776145066886,4.61373844273205,0.030277017554668075,-0.012783601167107861,1.0089002912434293,0.9583990665460241,1.0620625929232332
G-E3,GAPDH,18.024023007936812,18.024023007936812,,,,,,
G-E3,IL1b,29.64245726936743,29.64245726936743,11.618434261430618,0.025684560678375348,5.247724949759203,0.026319484639583165,0.025142131693692723,0.027551970538243264
G-E3,TNF,32.69127771470886,32.69127771470886,14.667254706772049,0.12853889779962563,0.08988096113944977,0.9396002737971795,0.755548193039829,1.1684875731986495
