ROI,Area,Mean,Min,Max,MinThr,MaxThr
0006-0016-0278,321.145,62.864,0,7067,0,65535
0006-0017-0270,146.033,678.446,0,8893,0,65535
0006-0018-0276,215.441,631.324,0,6689,0,65535
0006-0019-0280,182.117,222.994,0,7756,0,65535
0006-0020-0316,206.102,931.123,0,15022,0,65535
0006-0021-0331,458.051,357.904,0,13059,0,65535
0006-0022-0339,149.641,800.574,0,12474,0,65535
0006-0023-0377,227.54,7031.173,0,28280,0,65535
0006-0024-0413,323.48,1410.691,0,16159,0,65535
0006-0025-0416,271.689,996.153,0,11131,0,65535
0006-0026-0415,210.984,165.588,0,9581,0,65535
0006-0027-0436,499.229,559.297,0,16572,0,65535
0006-0028-0435,276.783,223.738,0,9375,0,65535
0006-0029-0441,175.537,200.291,0,8101,0,65535
0006-0030-0453,213.531,720.268,0,14850,0,65535
0006-0031-0495,300.344,480.426,0,12577,0,65535
0006-0032-0505,222.021,346.126,0,8927,0,65535
0006-0033-0518,267.232,411.766,0,19947,0,65535
0006-0034-0530,327.088,229.747,0,13955,0,65535
0006-0035-0541,333.668,328.867,0,7481,0,65535
0006-0036-0538,260.44,178.054,0,10924,0,65535
0006-0037-0559,389.28,363.963,0,9375,0,65535
0006-0038-0561,260.864,814.355,0,14609,0,65535
0006-0039-0608,586.679,103.094,0,10236,0,65535
0006-0040-0605,281.665,376.345,0,9891,0,65535
0006-0041-0638,456.141,4822.843,0,15814,0,65535
0006-0042-0672,345.767,356.286,0,9926,0,65535
0006-0043-0683,267.656,4115.404,0,24492,0,65535
0006-0044-0735,271.265,478.056,0,13094,0,65535
0006-0045-0751,178.721,702.552,0,15470,0,65535
0006-0046-0767,375.271,433.219,0,19155,0,65535
0006-0047-0802,404.562,464.029,0,13645,0,65535
0006-0048-0836,365.082,152.013,0,11096,0,65535
0006-0049-0847,318.598,312.774,0,13404,0,65535
0006-0050-0868,299.707,1310.563,0,13920,0,65535
0006-0051-0875,572.882,108.924,0,12612,0,65535
0006-0052-0876,393.313,309.313,0,16227,0,65535
0006-0053-0911,267.656,224.182,0,13300,0,65535
0006-0054-0946,231.573,1812.257,0,16710,0,65535
0006-0055-0958,274.661,340,0,11028,0,65535
0006-0056-0974,271.052,408.796,0,12956,0,65535
0006-0057-1009,224.78,167.056,0,7963,0,65535
0006-0058-1018,133.934,308.987,0,5139,0,65535
0006-0059-1023,160.042,1308.11,0,27316,0,65535
0006-0060-1030,112.921,402.081,0,10270,0,65535
0007-0001-0108,249.402,78.338,0,5483,0,65535
0007-0002-0248,311.169,1987.006,0,12681,0,65535
0007-0003-0262,138.816,101.506,0,4450,0,65535
0007-0004-0257,161.952,28.358,0,5724,0,65535
0007-0005-0286,127.142,115.92,0,3417,0,65535
0007-0006-0328,302.891,6850.612,0,17639,0,65535
0007-0007-0340,174.263,1611.509,0,9340,0,65535
0007-0008-0361,326.876,349.841,0,7446,0,65535
